times,urls
2010-06-08T00:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100608_0000.h5
2010-06-08T06:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100608_0600.h5
2010-06-08T12:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100608_1200.h5
2010-06-08T18:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100608_1800.h5
2010-06-09T00:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100609_0000.h5
2010-06-09T06:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100609_0600.h5
2010-06-09T12:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100609_1200.h5
2010-06-09T18:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100609_1800.h5
2010-06-10T00:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100610_0000.h5
2010-06-10T06:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100610_0600.h5
2010-06-10T12:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100610_1200.h5
2010-06-10T18:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100610_1800.h5
2010-06-11T00:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100611_0000.h5
2010-06-11T06:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100611_0600.h5
2010-06-11T12:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100611_1200.h5
2010-06-11T18:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100611_1800.h5
2010-06-12T00:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100612_0000.h5
2010-06-12T06:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100612_0600.h5
2010-06-12T12:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100612_1200.h5
2010-06-12T18:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100612_1800.h5
2010-06-13T00:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100613_0000.h5
2010-06-13T06:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100613_0600.h5
2010-06-13T12:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100613_1200.h5
